Recommendation ID,Generated Time,Approved Time,Approver,Property,Event Name,Category,Event Type,AI Suggested Date,Approved Date,Recommendation Score,Status
REC1790A4,2026-07-18 11:13:14,2026-07-18 11:13:14,Community Manager,Tribe Moro,Networking Mixer,Social,Major,2027-08-19,2027-08-19,92.4,Approved
REC185038,2026-07-18 11:20:02,2026-07-18 11:20:02,Community Manager,Tribe Moro,Networking Mixer,Social,Major,2027-08-19,2027-08-19,92.4,Approved
RECA53BA7,2026-07-18 11:23:21,2026-07-18 11:23:21,Community Manager,Tribe Moro,Networking Mixer,Social,Major,2027-08-19,2027-08-19,92.4,Approved
REC3327E3,2026-07-21 17:33:07,2026-07-21 17:33:07,Community Manager,Tribe Moro,Networking Mixer,Professional,Major,2026-07-21,2026-07-21,35.6625,Approved
REC18F44F,2026-07-21 17:33:14,2026-07-21 17:33:14,Community Manager,Tribe Moro,Networking Mixer,Professional,Major,2026-07-21,2026-07-21,35.6625,Approved
RECA189BE,2026-07-21 17:33:35,2026-07-21 17:33:35,Community Manager,Tribe Moro,Skill Exchange,Community,Minor,2026-07-21,2026-07-21,38.275,Approved
RECAA6DE7,2026-07-21 17:33:39,2026-07-21 17:33:39,Community Manager,Tribe Moro,Skill Share,Learning,Minor,2026-07-21,2026-07-21,44.9125,Approved
REC0BAE11,2026-07-21 17:41:42,2026-07-21 17:41:42,Community Manager,Tribe Moro,Local Business Expo,Flea Market,Major,2026-07-21,2026-07-21,32.7125,Approved
RECDDF906,2026-07-21 17:41:54,2026-07-21 17:41:54,Community Manager,Tribe Moro,Local Business Expo,Flea Market,Major,2026-07-21,2026-07-25,32.7125,Approved
REC8B9542,2026-07-21 17:45:24,2026-07-21 17:45:24,Community Manager,Tribe Moro,Treasure Hunt,Games,Major,2026-07-21,2026-07-24,30.9917,Approved
TEST_REC_0016,2026-07-21 18:00:16,2026-07-21 18:00:16,Test Automation,Tribe Moro,Test Live Sync Workshop,Learning,Minor,2026-08-01,2026-08-01,95.5,Approved
