Property,Recommendation Type,Event ID,Event Name,Category,Event Type,Priority,Community Impact,Resident Match Score,History Bonus,Recent Penalty,Repeat Penalty,History Modifier,Final Score,Reasons
Tribe Moro,Major Event,E008,Festival Celebration,Cultural,Major,High,10,70.0,0.0,0,0,0.0,70.0,100.0% occupation match | 100.0% age match | 100.0% tenure match | 0.0% interest match | Community size mismatch | All stages
Tribe Moro,Minor Event 1,E026,Barista Workshop,General,Minor,Medium,5,80.0,2.32,0,0,2.32,82.32,100.0% occupation match | 100.0% age match | 100.0% tenure match | 0.0% interest match | Community size matches | All stages
Tribe Moro,Minor Event 2,E006,Board Game Night,Entertainment,Minor,Medium,5,76.55,0.0,0,0,0.0,76.55,100.0% occupation match | 77.0% age match | 100.0% tenure match | 0.0% interest match | Community size matches | All stages
Tribe Vara,Major Event,E008,Festival Celebration,Cultural,Major,High,10,80.0,0.0,0,0,0.0,80.0,100.0% occupation match | 100.0% age match | 100.0% tenure match | 0.0% interest match | Community size matches | All stages
Tribe Vara,Minor Event 1,E004,Movie Night,Entertainment,Minor,Medium,7,80.0,3.12,0,0,3.12,83.12,100.0% occupation match | 100.0% age match | 100.0% tenure match | 0.0% interest match | Community size matches | All stages
Tribe Vara,Minor Event 2,E049,Acoustic Night,General,Minor,Medium,5,70.0,8.2,0,0,8.2,78.2,100.0% occupation match | 100.0% age match | 100.0% tenure match | 0.0% interest match | Community size mismatch | All stages
Tribe Wamba,Major Event,E008,Festival Celebration,Cultural,Major,High,10,80.0,0.0,0,0,0.0,80.0,100.0% occupation match | 100.0% age match | 100.0% tenure match | 0.0% interest match | Community size matches | All stages
Tribe Wamba,Minor Event 1,E004,Movie Night,Entertainment,Minor,Medium,7,80.0,3.12,0,0,3.12,83.12,100.0% occupation match | 100.0% age match | 100.0% tenure match | 0.0% interest match | Community size matches | All stages
Tribe Wamba,Minor Event 2,E049,Acoustic Night,General,Minor,Medium,5,70.0,8.2,0,0,8.2,78.2,100.0% occupation match | 100.0% age match | 100.0% tenure match | 0.0% interest match | Community size mismatch | All stages
